stock_code,year,industry,roa,revenue_growth,ln_size,leverage,firm_age,source_note
DEMO050,2023,农林牧渔,-0.0017,0.0722,22.415,0.3171,17,脚本生成演示财务数据，仅用于方法演示
DEMO050,2024,农林牧渔,-0.0099,0.0656,22.404,0.2998,18,脚本生成演示财务数据，仅用于方法演示
DEMO051,2020,信息技术,0.0179,0.1118,23.771,0.5894,8,脚本生成演示财务数据，仅用于方法演示
DEMO051,2021,信息技术,0.0499,0.2172,23.861,0.5686,9,脚本生成演示财务数据，仅用于方法演示
DEMO051,2022,信息技术,0.057,0.1268,23.846,0.5393,10,脚本生成演示财务数据，仅用于方法演示
DEMO051,2023,信息技术,0.0371,0.1761,23.973,0.5688,11,脚本生成演示财务数据，仅用于方法演示
DEMO051,2024,信息技术,0.0258,0.2571,23.921,0.5862,12,脚本生成演示财务数据，仅用于方法演示
DEMO052,2020,制造业,0.03,0.1615,25.045,0.3469,10,脚本生成演示财务数据，仅用于方法演示
DEMO052,2021,制造业,0.0193,0.1473,24.997,0.3291,11,脚本生成演示财务数据，仅用于方法演示
DEMO052,2022,制造业,0.0342,0.1535,25.085,0.307,12,脚本生成演示财务数据，仅用于方法演示
DEMO052,2023,制造业,0.0037,-0.1126,25.107,0.3168,13,脚本生成演示财务数据，仅用于方法演示
DEMO052,2024,制造业,0.0317,-0.0648,25.201,0.3369,14,脚本生成演示财务数据，仅用于方法演示
DEMO053,2020,批发零售,0.0386,0.1665,21.155,0.6276,12,脚本生成演示财务数据，仅用于方法演示
DEMO053,2021,批发零售,0.0018,0.0376,21.265,0.6653,13,脚本生成演示财务数据，仅用于方法演示
DEMO053,2022,批发零售,0.038,0.091,21.348,0.6409,14,脚本生成演示财务数据，仅用于方法演示
DEMO053,2023,批发零售,0.0028,0.0659,21.408,0.6667,15,脚本生成演示财务数据，仅用于方法演示
DEMO053,2024,批发零售,0.0104,-0.0466,21.514,0.6535,16,脚本生成演示财务数据，仅用于方法演示
DEMO054,2020,房地产,0.0272,0.1197,24.288,0.6014,9,脚本生成演示财务数据，仅用于方法演示
DEMO054,2021,房地产,-0.0005,0.0756,24.309,0.5719,10,脚本生成演示财务数据，仅用于方法演示
DEMO054,2022,房地产,0.0081,0.0301,24.479,0.6396,11,脚本生成演示财务数据，仅用于方法演示
DEMO054,2023,房地产,0.0442,0.0953,24.563,0.6036,12,脚本生成演示财务数据，仅用于方法演示
DEMO054,2024,房地产,-0.0112,0.1275,24.498,0.5547,13,脚本生成演示财务数据，仅用于方法演示
DEMO055,2020,农林牧渔,-0.0075,0.1095,21.184,0.5465,17,脚本生成演示财务数据，仅用于方法演示
DEMO055,2021,农林牧渔,0.0218,-0.004,21.113,0.5206,18,脚本生成演示财务数据，仅用于方法演示
DEMO055,2022,农林牧渔,0.0521,0.1612,21.149,0.5448,19,脚本生成演示财务数据，仅用于方法演示
DEMO055,2023,农林牧渔,0.028,0.0991,21.292,0.5602,20,脚本生成演示财务数据，仅用于方法演示
DEMO055,2024,农林牧渔,0.0198,0.058,21.351,0.4898,21,脚本生成演示财务数据，仅用于方法演示
DEMO056,2020,信息技术,0.0442,0.0095,21.091,0.4775,8,脚本生成演示财务数据，仅用于方法演示
DEMO056,2021,信息技术,0.0677,0.1503,21.205,0.4436,9,脚本生成演示财务数据，仅用于方法演示
DEMO056,2022,信息技术,0.0435,0.1265,21.253,0.4322,10,脚本生成演示财务数据，仅用于方法演示
DEMO056,2023,信息技术,0.0444,0.2624,21.327,0.5112,11,脚本生成演示财务数据，仅用于方法演示
DEMO056,2024,信息技术,0.0466,0.0811,21.225,0.4251,12,脚本生成演示财务数据，仅用于方法演示
DEMO057,2020,制造业,0.0244,0.012,23.283,0.3047,23,脚本生成演示财务数据，仅用于方法演示
DEMO057,2021,制造业,0.0229,0.1051,23.306,0.3282,24,脚本生成演示财务数据，仅用于方法演示
DEMO057,2022,制造业,0.0097,0.0558,23.312,0.2958,25,脚本生成演示财务数据，仅用于方法演示
DEMO057,2023,制造业,-0.0004,0.1244,23.476,0.3029,26,脚本生成演示财务数据，仅用于方法演示
DEMO057,2024,制造业,0.0632,0.1175,23.526,0.2757,27,脚本生成演示财务数据，仅用于方法演示
DEMO058,2020,批发零售,0.0204,0.1433,23.728,0.4664,10,脚本生成演示财务数据，仅用于方法演示
DEMO058,2021,批发零售,0.033,0.0193,23.806,0.4566,11,脚本生成演示财务数据，仅用于方法演示
DEMO058,2022,批发零售,0.0148,0.1343,23.842,0.4738,12,脚本生成演示财务数据，仅用于方法演示
DEMO058,2023,批发零售,-0.0162,0.0278,23.829,0.5413,13,脚本生成演示财务数据，仅用于方法演示
DEMO058,2024,批发零售,0.0193,0.0737,23.949,0.5005,14,脚本生成演示财务数据，仅用于方法演示
DEMO059,2020,房地产,0.0445,-0.0504,22.024,0.6367,17,脚本生成演示财务数据，仅用于方法演示
DEMO059,2021,房地产,0.0303,-0.0316,22.136,0.6013,18,脚本生成演示财务数据，仅用于方法演示
DEMO059,2022,房地产,0.0122,0.1026,22.253,0.5623,19,脚本生成演示财务数据，仅用于方法演示
DEMO059,2023,房地产,0.0224,0.0761,22.188,0.5852,20,脚本生成演示财务数据，仅用于方法演示
DEMO059,2024,房地产,0.0109,0.0975,22.272,0.6363,21,脚本生成演示财务数据，仅用于方法演示
DEMO060,2020,农林牧渔,0.0297,0.0121,24.88,0.625,8,脚本生成演示财务数据，仅用于方法演示
DEMO060,2021,农林牧渔,-0.0095,0.2058,24.922,0.6273,9,脚本生成演示财务数据，仅用于方法演示
DEMO060,2022,农林牧渔,0.0188,-0.0172,24.981,0.6589,10,脚本生成演示财务数据，仅用于方法演示
DEMO060,2023,农林牧渔,0.0114,0.1583,25.059,0.6575,11,脚本生成演示财务数据，仅用于方法演示
DEMO060,2024,农林牧渔,0.0065,-0.0222,25.161,0.6615,12,脚本生成演示财务数据，仅用于方法演示
